species,Scientific name,Common name,Order,Nesting
amerob,Turdus migratorius,American Robin,Passeriformes,Tree
attwoo1,Picoides dorsalis,American Three-toed Woodpecker,Piciformes,Cavity
batpig1,Patagioenas fasciata,Band-tailed Pigeon,Columbiformes,Tree
bkbwoo,Picoides arcticus,Black-backed Woodpecker,Piciformes,Cavity
bkcchi,Poecile atricapillus,Black-capped Chickadee,Passeriformes,Cavity
bkchum,Archilochus alexandri,Black-chinned Hummingbird,Caprimulgiformes,Tree
bkhgro,Pheucticus melanocephalus,Black-headed Grosbeak,Passeriformes,Tree
blkswi,Cypseloides niger,Black Swift,Caprimulgiformes,Cliff
brdowl,Strix varia,Barred Owl,Strigiformes,Tree
brncre,Certhia americana,Brown Creeper,Passeriformes,Tree
brthum,Selasphorus platycercus,Broad-tailed Hummingbird,Caprimulgiformes,Tree
btywar,Setophaga nigrescens,Black-throated Gray Warbler,Passeriformes,Tree
buggna,Polioptila caerulea,Blue-gray Gnatcatcher,Passeriformes,Tree
bulori,Icterus bullockii,Bullock's Oriole,Passeriformes,Tree
bushti,Psaltriparus minimus,Bushtit,Passeriformes,Tree
calhum,Selasphorus calliope,Calliope Hummingbird,Caprimulgiformes,Tree
casfin,Haemorhous cassinii,Cassin's Finch,Passeriformes,Tree
casvir,Vireo cassinii,Cassin's Vireo,Passeriformes,Tree
cedwax,Bombycilla cedrorum,Cedar Waxwing,Passeriformes,Tree
chbchi,Poecile rufescens,Chestnut-backed Chickadee,Passeriformes,Shrub
chispa,Spizella passerina,Chipping Sparrow,Passeriformes,Shrub
clanut,Nucifraga columbiana,Clark's Nutcracker,Passeriformes,Tree
coohaw,Accipiter cooperii,Cooper's Hawk,Accipitriformes,Tree
cowscj1,Aphelocoma californica,California Scrub-Jay,Passeriformes,Tree
daejun,Junco hyemalis,Dark-eyed Junco,Passeriformes,Ground
dowwoo,Dryobates pubescens,Downy Woodpecker,Piciformes,Cavity
dusfly,Empidonax oberholseri,Dusky Flycatcher,Passeriformes,Shrub
dusgro,Dendragapus obscurus,Dusky Grouse,Galliformes,Ground
evegro,Coccothraustes vespertinus,Evening Grosbeak,Passeriformes,Tree
flaowl,Psiloscops flammeolus,Flammulated Owl,Strigiformes,Cavity
foxspa,Passerella iliaca,Fox Sparrow,Passeriformes,Ground
gockin,Regulus satrapa,Golden-crowned Kinglet,Passeriformes,Tree
grycat,Dumetella carolinensis,Gray Catbird,Passeriformes,Shrub
gryfly,Empidonax wrightii,Gray Flycatcher,Passeriformes,Shrub
gryjay,Perisoreus canadensis,Canada Jay,Passeriformes,Tree
gryvir,Vireo vicinior,Gray Vireo,Passeriformes,Shrub
haiwoo,Dryobates villosus,Hairy Woodpecker,Piciformes,Cavity
hamfly,Empidonax hammondii,Hammond's Flycatcher,Passeriformes,Tree
herthr,Catharus guttatus,Hermit Thrush,Passeriformes,Ground
